,Date,Hour,AM/PM,Wind_Speed,Rain_Ml,Condition,Only_Hour,Full_Hour
0,2015-01-01,12:00,AM,2.0,0.0,Fair,12,0.0
1,2015-01-01,1:00,AM,2.0,0.0,Fair,1,1
2,2015-01-01,2:00,AM,7.0,0.0,Mostly Cloudy,2,2
3,2015-01-01,3:00,AM,9.0,0.0,Fair,3,3
4,2015-01-01,4:00,AM,7.0,0.0,Fair,4,4
5,2015-01-01,5:00,AM,6.0,0.0,Fair,5,5
6,2015-01-01,6:00,AM,9.0,0.0,Fair,6,6
7,2015-01-01,7:00,AM,24.0,0.0,Partly Cloudy,7,7
8,2015-01-01,8:00,AM,22.0,0.0,Mostly Cloudy,8,8
9,2015-01-01,9:00,AM,24.0,0.0,Rain,9,9
10,2015-01-01,10:00,AM,37.0,0.0,Light Rain / Windy,10,10
11,2015-01-01,10:15,AM,37.0,0.0,Light Rain / Windy,10,10
12,2015-01-01,11:00,AM,35.0,0.0,Fair / Windy,11,11
13,2015-01-01,12:00,PM,24.0,0.0,Fair,12,12
14,2015-01-01,1:00,PM,26.0,0.0,Fair,1,13
15,2015-01-01,2:00,PM,22.0,0.0,Fair,2,14
16,2015-01-01,3:00,PM,20.0,0.0,Fair,3,15
17,2015-01-01,4:00,PM,24.0,0.0,Fair,4,16
18,2015-01-01,5:00,PM,26.0,0.0,Fair,5,17
19,2015-01-01,6:00,PM,30.0,0.0,Fair,6,18
20,2015-01-01,7:00,PM,28.0,0.0,Fair,7,19
21,2015-01-01,8:00,PM,30.0,0.0,Partly Cloudy,8,20
22,2015-01-01,9:00,PM,30.0,0.0,Fair,9,21
23,2015-01-01,10:00,PM,28.0,0.0,Fair,10,22
24,2015-01-02,12:00,AM,24.0,0.0,Fair,12,0
25,2015-01-02,1:00,AM,30.0,0.0,Fair,1,1
26,2015-01-02,2:00,AM,26.0,0.0,Fair,2,2
27,2015-01-02,3:00,AM,24.0,0.0,Fair,3,3
28,2015-01-02,4:00,AM,17.0,0.0,Fair,4,4
29,2015-01-02,5:00,AM,13.0,0.0,Fair,5,5
30,2015-01-02,6:00,AM,15.0,0.0,Fair,6,6
31,2015-01-02,7:00,AM,13.0,0.0,Fair,7,7
32,2015-01-02,8:00,AM,19.0,0.0,Fair,8,8
33,2015-01-02,9:00,AM,24.0,0.0,Fair,9,9
34,2015-01-02,10:00,AM,24.0,0.0,Fair,10,10
35,2015-01-02,11:00,AM,24.0,0.0,Fair,11,11
36,2015-01-02,12:00,PM,24.0,0.0,Fair,12,12
37,2015-01-02,1:00,PM,30.0,0.0,Fair,1,13
38,2015-01-02,2:00,PM,30.0,0.0,Fair,2,14
39,2015-01-02,3:00,PM,22.0,0.0,Fair,3,15
40,2015-01-02,4:00,PM,22.0,0.0,Fair,4,16
41,2015-01-02,5:00,PM,24.0,0.0,Fair,5,17
42,2015-01-02,6:00,PM,22.0,0.0,Fair,6,18
43,2015-01-02,7:00,PM,22.0,0.0,Fair,7,19
44,2015-01-02,8:00,PM,19.0,0.0,Fair,8,20
45,2015-01-02,9:00,PM,11.0,0.0,Fair,9,21
46,2015-01-02,10:00,PM,6.0,0.0,Fair,10,22
47,2015-01-02,11:00,PM,4.0,0.0,Fair,11,23
48,2015-01-03,12:00,AM,11.0,0.0,Fair,12,0
49,2015-01-03,1:00,AM,15.0,0.0,Fair,1,1
50,2015-01-03,2:00,AM,4.0,0.0,Fair,2,2
51,2015-01-03,3:00,AM,0.0,0.0,Fair,3,3
52,2015-01-03,4:00,AM,4.0,0.0,Fair,4,4
53,2015-01-03,5:00,AM,7.0,0.0,Fair,5,5
54,2015-01-03,6:00,AM,7.0,0.0,Fair,6,6
55,2015-01-03,7:00,AM,11.0,0.0,Fair,7,7
56,2015-01-03,8:00,AM,13.0,0.0,Fair,8,8
57,2015-01-03,9:00,AM,19.0,0.0,Fair,9,9
58,2015-01-03,10:00,AM,24.0,0.0,Fair,10,10
59,2015-01-03,11:00,AM,26.0,0.0,Fair,11,11
60,2015-01-03,12:00,PM,26.0,0.0,Fair,12,12
61,2015-01-03,1:00,PM,30.0,0.0,Fair,1,13
62,2015-01-03,2:00,PM,28.0,0.0,Fair,2,14
63,2015-01-03,3:00,PM,33.0,0.0,Fair / Windy,3,15
64,2015-01-03,4:00,PM,30.0,0.0,Fair,4,16
65,2015-01-03,5:00,PM,26.0,0.0,Fair,5,17
66,2015-01-03,6:00,PM,19.0,0.0,Fair,6,18
67,2015-01-03,6:57,PM,28.0,0.0,Fair,6,18
68,2015-01-03,7:00,PM,24.0,0.0,Fair,7,19
69,2015-01-03,8:00,PM,19.0,0.0,Fair,8,20
70,2015-01-03,9:00,PM,15.0,0.0,Fair,9,21
71,2015-01-03,10:00,PM,13.0,0.0,Fair,10,22
72,2015-01-04,12:00,AM,13.0,0.0,Fair,12,0
73,2015-01-04,12:27,AM,24.0,0.0,Fair,12,0
74,2015-01-04,1:00,AM,31.0,0.0,Fair,1,1
75,2015-01-04,2:00,AM,30.0,0.0,Fair,2,2
76,2015-01-04,3:00,AM,24.0,0.0,Fair,3,3
77,2015-01-04,4:00,AM,20.0,0.0,Fair,4,4
78,2015-01-04,5:00,AM,20.0,0.0,Partly Cloudy,5,5
79,2015-01-04,6:00,AM,19.0,0.0,Fair,6,6
80,2015-01-04,7:00,AM,17.0,0.0,Mostly Cloudy,7,7
81,2015-01-04,8:00,AM,17.0,0.0,Fair,8,8
82,2015-01-04,9:00,AM,17.0,0.0,Fair,9,9
83,2015-01-04,10:00,AM,17.0,0.0,Fair,10,10
84,2015-01-04,11:00,AM,19.0,0.0,Partly Cloudy,11,11
85,2015-01-04,12:00,PM,20.0,0.0,Partly Cloudy,12,12
86,2015-01-04,1:00,PM,20.0,0.0,Partly Cloudy,1,13
87,2015-01-04,2:00,PM,20.0,0.0,Fair,2,14
88,2015-01-04,3:00,PM,22.0,0.0,Fair,3,15
89,2015-01-04,4:00,PM,20.0,0.0,Fair,4,16
90,2015-01-04,5:00,PM,22.0,0.0,Fair,5,17
91,2015-01-04,6:00,PM,30.0,0.0,Fair,6,18
92,2015-01-04,7:00,PM,37.0,0.0,Fair / Windy,7,19
93,2015-01-04,8:00,PM,31.0,0.0,Fair,8,20
94,2015-01-04,9:00,PM,28.0,0.0,Fair,9,21
95,2015-01-04,10:00,PM,24.0,0.0,Fair,10,22
96,2015-01-05,12:00,AM,15.0,0.0,Fair,12,0
97,2015-01-05,1:00,AM,17.0,0.0,Fair,1,1
98,2015-01-05,2:00,AM,11.0,0.0,Fair,2,2
99,2015-01-05,3:00,AM,9.0,0.0,Fair,3,3
100,2015-01-05,4:00,AM,15.0,0.0,Fair,4,4
101,2015-01-05,5:00,AM,17.0,0.0,Partly Cloudy,5,5
102,2015-01-05,6:00,AM,17.0,0.0,Partly Cloudy,6,6
103,2015-01-05,7:00,AM,15.0,0.0,Fair,7,7
104,2015-01-05,8:00,AM,13.0,0.0,Fair,8,8
105,2015-01-05,9:00,AM,15.0,0.0,Fair,9,9
106,2015-01-05,10:00,AM,13.0,0.0,Fair,10,10
107,2015-01-05,11:00,AM,9.0,0.0,Fair,11,11
108,2015-01-05,12:00,PM,13.0,0.0,Fair,12,12
